gid,pid,off,def,type,dseq,len,qtr,min,sec,secl,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,player,loc,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf
4535,743383,SEA,GB,PASS,1,5,1,14,53,3593,0,0,3,3,1,10,39,2,0,1,0,JG-2900,SL,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743384,SEA,GB,RUSH,2,36,1,14,48,3588,0,0,3,2,2,10,39,2,0,0,0,DB-0500,RE,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743385,SEA,GB,PASS,3,38,1,14,12,3552,0,0,3,2,3,13,36,2,0,1,0,,,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743396,SEA,GB,RUSH,1,34,1,9,26,3266,0,0,3,2,1,10,50,3,0,0,0,EL-0010,LE,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743397,SEA,GB,RUSH,2,46,1,8,52,3232,0,0,3,2,2,8,52,3,0,1,0,EL-0010,MD,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743398,SEA,GB,PASS,3,3,1,8,6,3186,0,0,3,2,3,2,58,3,0,1,0,TM-1787,SM,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743412,SEA,GB,RUSH,1,42,1,1,34,2794,0,0,3,2,1,10,25,2,0,0,0,EL-0010,LE,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743413,SEA,GB,RUSH,2,38,1,0,52,2752,0,0,3,2,2,12,23,2,0,1,0,CP-2550,RT,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743414,SEA,GB,PASS,3,32,1,0,14,2714,0,0,3,2,3,12,23,2,0,1,0,JG-2900,SL,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743425,SEA,GB,PASS,1,30,2,11,13,2473,0,0,3,2,1,10,20,1,0,1,0,PR-0150,SL,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743426,SEA,GB,PASS,2,37,2,10,43,2443,0,0,3,2,2,4,26,2,0,0,0,JG-2900,SL,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743427,SEA,GB,PASS,3,18,2,10,6,2406,0,0,3,2,3,1,29,2,1,0,0,CC-0750,SR,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743428,SEA,GB,RUSH,4,37,2,9,48,2388,0,0,3,2,1,10,39,2,0,0,0,CC-0750,MD,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743429,SEA,GB,PASS,5,8,2,9,11,2351,0,0,3,2,2,6,43,3,0,0,0,LW-1450,SR,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743430,SEA,GB,PASS,6,6,2,9,3,2343,0,0,3,2,3,6,43,3,0,1,0,TL-1025,DR,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743436,SEA,GB,RUSH,1,37,2,7,12,2232,0,0,3,2,1,10,32,2,0,0,0,EL-0010,LT,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743437,SEA,GB,PASS,2,5,2,6,35,2195,0,0,3,2,2,10,32,2,0,1,0,PR-0150,DL,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743438,SEA,GB,PASS,3,42,2,6,30,2190,0,0,3,2,3,10,32,2,0,1,0,JG-2900,SR,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743451,SEA,GB,RUSH,1,7,2,0,55,1855,0,0,2,2,1,10,11,1,0,0,0,CP-2550,LE,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743452,SEA,GB,RUSH,2,5,2,0,48,1848,0,0,2,1,2,11,10,1,0,0,0,CP-2550,MD,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743453,SEA,GB,RUSH,3,14,2,0,43,1843,0,0,2,0,3,3,18,1,1,0,0,CP-2550,RT,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743454,SEA,GB,PASS,4,9,2,0,29,1829,0,0,1,0,1,10,22,2,1,1,0,DB-0500,DR,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743455,SEA,GB,RUSH,5,8,2,0,20,1820,0,0,1,0,1,10,56,3,1,1,1,RW-3850,MD,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
4535,743456,SEA,GB,PASS,6,3,2,0,12,1812,0,0,1,0,1,10,85,5,0,1,0,TM-1787,SM,2017,1,SUN,SEA,GB,Lambeau Field,71,49,11,S,Mostly Sunny,DD GrassMaster
